ecotype	gene	log2FC	q_BH
Lymphocyte-inflamed	THBS1	1.7915442488248878	1.5694827099656283e-14
Lymphocyte-inflamed	OAS1	1.7911808331103631	0.0
Lymphocyte-inflamed	CSF3R	1.7904402417386232	0.0
Lymphocyte-inflamed	ADORA3	1.7896715952202347	0.0
Lymphocyte-inflamed	ADAM28	1.7894986581007473	0.0
Lymphocyte-inflamed	PTGS1	1.7880002160113637	0.0
Lymphocyte-inflamed	FCGBP	1.7849201883191381	4.682871374623371e-13
Lymphocyte-inflamed	THEMIS2	1.7843690593868056	0.0
Lymphocyte-inflamed	SELPLG	1.7841427931025247	0.0
Lymphocyte-inflamed	CSF1R	1.7832534500343735	0.0
Lymphocyte-inflamed	SLC7A7	1.7816660865918097	0.0
Lymphocyte-inflamed	SNORA81	1.7815417896515604	0.018002402885782105
Lymphocyte-inflamed	CXCR4	1.7812549347275723	0.0
Lymphocyte-inflamed	ARPC1B	1.7768254484797081	0.0
Lymphocyte-inflamed	CFI	1.774731789094194	1.0718678120958886e-14
Lymphocyte-inflamed	DOCK8	1.7719567753358163	0.0
Lymphocyte-inflamed	IFITM1	1.769582302216092	0.0
Lymphocyte-inflamed	ADA2	1.7671632843837135	0.0
Lymphocyte-inflamed	CFH	1.7668714404753976	0.0
Lymphocyte-inflamed	SELL	1.764473091379703	0.0
Lymphocyte-inflamed	APOL1	1.7628762017581585	0.0
Lymphocyte-inflamed	SCARNA6	1.762311794452021	0.0005756041014663519
Lymphocyte-inflamed	NCF4	1.761364192741316	0.0
Lymphocyte-inflamed	DOCK2	1.759639804115467	0.0
Lymphocyte-inflamed	ANXA2	1.754623865284258	1.5694827099656283e-14
Lymphocyte-inflamed	CIITA	1.7546194018503392	0.0
Lymphocyte-inflamed	CASP1	1.7495600120296255	0.0
Lymphocyte-inflamed	PLXDC2	1.7491166206857485	0.0
Lymphocyte-inflamed	IL6	1.7450778441659454	0.0
Lymphocyte-inflamed	CYP1B1	1.7416379268370574	0.0
