sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_5YYCP891,1.89141918684608,0,0.0399744813675023,0.461739829667941
BS_62SW4CC5,0.790772037862,0.00530077043660637,0.0138335846978285,0.5351250314275
BS_65WPD3DA,0,0,0.0172817464816964,0.309263174290313
BS_66ABA973,0.0565835283663675,0,0.01537522890692,0.176480760194454
BS_66HQ3E4Z,0.20163386116965,0,0.0155507608125451,0.299914753392744
BS_680K119G,0.0565835283663675,0,0.0171841797290403,0.202936909325645
BS_68BW2163,0.0426443374084937,0,0.0149288393649849,0.167799407548971
BS_68KX6A42,1.23878685958712,0,0.0254013009496627,0.395119258744613
BS_699TN5RN,0.613531652917927,0.000121540696325393,0.0516328218718697,0.409554247138681
BS_6DCSD5Y6,0,0,0.0289786037650045,0.0723981632777789
BS_6H4Q24WA,0.310340120612151,0,0.0207430156054442,0.42955743309529
BS_6HXD39AM,1.4594316186373,0.0102034750790472,0.0412681338840004,0.575235636801093
BS_6M2053M0,0.443606651475615,0,0.00730957813291702,0.307214820710784
BS_6N3AFF66,0.137503523749935,0,0.0181399282332017,0.23403036207776
BS_6SY64H5J,0.0976107966264223,0,0.013118652020316,0.493748259755133
BS_6TSAVMT9,0.150559676575381,0,0.0250472715714845,0.403933168270705
BS_6VF6VPCG,0.389566811762726,0,0.0225384835997355,0.324701914677297
BS_6VRG1XFB,0.650764559116902,0,0.0110406999185526,0.295343848906693
BS_6WP1FHTE,0.263034405833794,0,0.0091278923377494,0.327689995880081
BS_7327SDAQ,0.0426443374084937,0,0.00791718590440232,0.200097102120784
BS_75YRDXET,0.422233000683048,0,0.0140596060950383,0.681092833932221
BS_769BDPDB,0.6959938131099,0,0.0238152744057514,0.495890130767122
BS_76DRXZRJ,0.887525270741588,0,0.0295405166466474,0.439505622929613
BS_775HDFNY,0.250961573533219,0,0.0163245012337127,0.32631642181942
BS_77SBTNPN,0.0285691521967709,0,0.00597312042653116,0.271027662294939
BS_7AEF4D4G,2.44625622988956,0.00839253794550069,0.0178914038652693,0.444728292661764
BS_7APCGCVF,0.070389327891398,0,0.0229798589680737,0.357993099268056
BS_7GJT4A6A,0.0840642647884746,0,0.0228245415603443,0.138019386932077
BS_7GKWKGPH,0.790772037862,0,0.026544735777759,0.296674915848429
BS_7H4RFCW9,0.918386234446348,0.00121568462412693,0.0407989219620364,0.480182986732005
BS_7M3FNSYK,0.150559676575381,0,0.0321145297236001,0.35009494033232
BS_7MGXMG6S,0.516015147003665,0,0.0257466575011125,0.5110425500992
BS_7N0B2CY1,0.0143552929770701,0,0.0358985902545294,0.129587720632476
BS_7P83Z28P,0.0976107966264223,0,0.0194761928356688,0.285400401601283
BS_7PVJ6Q3D,0.333423733725192,0,0.0214095324545919,0.205258236300812
BS_7WKNNRHK,0.0143552929770701,0,0.00416271201579624,0.213532931996521
BS_7Z93ZYMS,0.27500704749987,0,0.0229462972613042,0.284631011218278
BS_84VZX732,0.903038270112912,0,0.0309220249061853,0.458636388203177
BS_84XCR9GG,0.0143552929770701,0,0.00538637159559973,0.122956045763389
BS_880ESDFZ,0.176322772640463,0,0.0213969379224913,0.287317999742497
BS_8BF616QR,0.37851162325373,0,0.0170648848573807,0.424844756515134
BS_8E8JKP01,0,0,0.0125841846554443,0.0256876242948421
BS_8ERBDF7D,0.16349873228288,0,0.0315067691768796,0.211426223605091
BS_8J3B6ZB6,0.333423733725192,0,0.0135391698529424,0.35549346430284
BS_8JK9TXH2,1.93357263826102,0,0.0185827274659019,0.427277114459751
BS_8QJ43WKW,0.389566811762726,0,0.0191562828013131,0.436788497594541
BS_8RCR7Y4B,0.137503523749935,0,0.0209677210140676,0.2482216639477
BS_8VAZSJEN,0.422233000683048,0,0.0130941572370329,0.365119123546993
BS_8VD670NP,0.0840642647884746,0,0.00571776064964391,0.318575645838035
BS_8YWYN7VH,0.0143552929770701,0,0.0314869136392678,0.400888574268032
BS_8ZE4Z9G5,0,0,0.0023670787885092,0.309209711497871
BS_8ZY4GST0,0.895302621333307,0,0.015930928403812,0.118420110144433
